group,model,dataset,mode,class,iou,AP
lidar128_models,early_fusion_tuned,lidar128,i2i,mAP,0.3,0.488
lidar128_models,early_fusion_tuned,lidar128,i2i,mAP,0.5,0.339
lidar128_models,early_fusion_tuned,lidar128,i2i,mAP,0.7,0.146
lidar128_models,early_fusion_tuned,lidar128,i2i,pedestrian,0.3,0.441
lidar128_models,early_fusion_tuned,lidar128,i2i,pedestrian,0.5,0.237
lidar128_models,early_fusion_tuned,lidar128,i2i,pedestrian,0.7,0.015
lidar128_models,early_fusion_tuned,lidar128,i2i,truck,0.3,0.36
lidar128_models,early_fusion_tuned,lidar128,i2i,truck,0.5,0.187
lidar128_models,early_fusion_tuned,lidar128,i2i,truck,0.7,0.038
lidar128_models,early_fusion_tuned,lidar128,i2i,vehicle,0.3,0.665
lidar128_models,early_fusion_tuned,lidar128,i2i,vehicle,0.5,0.592
lidar128_models,early_fusion_tuned,lidar128,i2i,vehicle,0.7,0.385
lidar128_models,early_fusion_tuned,lidar128,ic,mAP,0.3,0.444
lidar128_models,early_fusion_tuned,lidar128,ic,mAP,0.5,0.325
lidar128_models,early_fusion_tuned,lidar128,ic,mAP,0.7,0.136
lidar128_models,early_fusion_tuned,lidar128,ic,pedestrian,0.3,0.353
lidar128_models,early_fusion_tuned,lidar128,ic,pedestrian,0.5,0.168
lidar128_models,early_fusion_tuned,lidar128,ic,pedestrian,0.7,0.009
lidar128_models,early_fusion_tuned,lidar128,ic,truck,0.3,0.307
lidar128_models,early_fusion_tuned,lidar128,ic,truck,0.5,0.209
lidar128_models,early_fusion_tuned,lidar128,ic,truck,0.7,0.038
lidar128_models,early_fusion_tuned,lidar128,ic,vehicle,0.3,0.67
lidar128_models,early_fusion_tuned,lidar128,ic,vehicle,0.5,0.599
lidar128_models,early_fusion_tuned,lidar128,ic,vehicle,0.7,0.361
lidar128_models,early_fusion_tuned,lidar128,v2v,mAP,0.3,0.442
lidar128_models,early_fusion_tuned,lidar128,v2v,mAP,0.5,0.343
lidar128_models,early_fusion_tuned,lidar128,v2v,mAP,0.7,0.164
lidar128_models,early_fusion_tuned,lidar128,v2v,pedestrian,0.3,0.375
lidar128_models,early_fusion_tuned,lidar128,v2v,pedestrian,0.5,0.197
lidar128_models,early_fusion_tuned,lidar128,v2v,pedestrian,0.7,0.013
lidar128_models,early_fusion_tuned,lidar128,v2v,truck,0.3,0.357
lidar128_models,early_fusion_tuned,lidar128,v2v,truck,0.5,0.268
lidar128_models,early_fusion_tuned,lidar128,v2v,truck,0.7,0.104
lidar128_models,early_fusion_tuned,lidar128,v2v,vehicle,0.3,0.595
lidar128_models,early_fusion_tuned,lidar128,v2v,vehicle,0.5,0.563
lidar128_models,early_fusion_tuned,lidar128,v2v,vehicle,0.7,0.374
lidar128_models,early_fusion_tuned,lidar128,vc,mAP,0.3,0.464
lidar128_models,early_fusion_tuned,lidar128,vc,mAP,0.5,0.365
lidar128_models,early_fusion_tuned,lidar128,vc,mAP,0.7,0.183
lidar128_models,early_fusion_tuned,lidar128,vc,pedestrian,0.3,0.378
