fusion_method,dataset,snr_label,snr_db,vehicle_AP@0.3,vehicle_AP@0.5,vehicle_AP@0.7,pedestrian_AP@0.3,pedestrian_AP@0.5,pedestrian_AP@0.7,truck_AP@0.3,truck_AP@0.5,truck_AP@0.7,mAP_AP@0.3,mAP_AP@0.5,mAP_AP@0.7,avg_conf,,
early,LiDAR64,∞ (clean),-999,0.40122904700476797,0.39455132026270323,0.30014628863820836,0.24071671863784763,0.10739540214518944,0.004206153,0.2579096449767478,0.15574618632207385,0.096558567,0.29995180353978784,0.21923096957665547,0.1336370027693475,0.6165021099127143,,
early,LiDAR64,+30.0 dB,30,0.016370079,0.016094956894076952,0.014493184452431904,0.002562727,0.001070897,2.8257660466345715e-05,0.035540512820512814,0.015357264957264945,0.002363077,0.018157773211605166,0.010841039512630872,0.005628173,0.5506389690072913,,
early,LiDAR64,+20.0 dB,20,0.014398145,0.014268723883934924,0.013254391472128776,0.002159973,0.000903843,2.6170975289959634e-05,0.029834142967190214,0.009723781,0.001589083,0.015464086815206302,0.008298783,0.004956549,0.5621816847059462,,
early,LiDAR64,+10.0 dB,10,0.016028361,0.015717138046046537,0.013480223,0.001579605,0.000503884,3.963672489440845e-06,0.018113513,0.005182336,0.000923077,0.011907159611681853,0.007134453,0.004802421,0.5129128396511078,,
early,LiDAR64,+0.0 dB,0,0,0,0,0.000272631,0.00013352,1.1221964414911543e-06,0.001025641,0.00034188,0,0.000432757,0.000158467,3.7406548049705146e-07,,,
early,LiDAR64,ego only,-998,0.2677416838750047,0.2593510831830362,0.21930090780469552,0.12417761431925424,0.0517108,0.002249107,0.16420635518871649,0.1071000891971006,0.043952310958680386,0.18537521779432511,0.13938732421073963,0.088500775,,,
intermediate,LiDAR64,∞ (clean),-999,0.5195017115513789,0.513156867,0.35234892056978934,0.25608641151392825,0.10385329112650431,0.003726921,0.35842930402930195,0.2915876215738293,0.12411956367757458,0.37800580903153636,0.3028659264826295,0.1600651350029517,0.659830545,,
intermediate,LiDAR64,+30.0 dB,30,0.3606523873805461,0.2694238251195879,0.1429642409387553,0.17927635517956478,0.057099654,0.001261666,0.13586899320817597,0.082502632,0.018542331,0.22526591192276232,0.13634203735453213,0.054256079232012866,0.6623035563339275,,
intermediate,LiDAR64,+20.0 dB,20,0.3548691932087846,0.26524282452628034,0.12882225341178233,0.1750528829805286,0.056539426995058865,0.001580797,0.13054254170369267,0.073838769,0.014601043319030874,0.22015487263100195,0.13187367337840214,0.048334697864960204,0.6624704931166696,,
intermediate,LiDAR64,+10.0 dB,10,0.22807491917342979,0.13503390769717485,0.069348327,0.11537664041949723,0.033438011,0.001011536,0.078209775,0.034498072,0.005171532,0.14055377805313496,0.067656664,0.025177131,0.6586638645299294,,
intermediate,LiDAR64,+0.0 dB,0,0.011014671245342583,0.004331934,0.002548793,0.003847794,0.001068352,5.1211221533460116e-05,0.001586882,0.000533045,0.000143133,0.005483116,0.001977777,0.000914379,0.6633033328405726,,
intermediate,LiDAR64,ego only,-998,0.28610231428824895,0.2748674675807932,0.22461930009610548,0.1739945217024882,0.062581441,0.00191817,0.23674509149563389,0.18581901106846924,0.078633962,0.23228064249545702,0.17442263976263414,0.10172381059042801,,,
late,LiDAR64,∞ (clean),-999,0.40685220560106955,0.4017100760435503,0.3048966496295123,0.29221820487881495,0.11707255698752542,0.00673699,0.3511035475549073,0.28406972534598934,0.059787821,0.35005798601159727,0.267617453,0.1238071535821419,0.6615474361714309,,
late,LiDAR64,+30.0 dB,30,0.074949001,0.050986259,0.013672018147408167,0.060162616,0.013808003082019162,0.000300249,0.016871396,0.008408939,0.000830315,0.050661005,0.024401066829533274,0.004934194,0.7148211923688047,,
late,LiDAR64,+20.0 dB,20,0.072636513,0.042508041,0.010327706907798025,0.058229295064958136,0.013460830496492514,0.000330102,0.016900171291744114,0.006464861,0.000410159,0.049255326498823256,0.020811244,0.003689323,0.7151873486582944,,
late,LiDAR64,+10.0 dB,10,0.054416361,0.017007136,0.006379448,0.041237415,0.006680343,0.000201291,0.00936444,0.002035591,0.000185478,0.035006071868395085,0.008574357,0.002255406,0.7111393589676243,,
late,LiDAR64,+0.0 dB,0,0.015577475879798785,0.007509551,0.00639938,0.007002598,0.001582386,0.000122091,0.001458776,0.000181322,8.052007533650381e-05,0.00801295,0.003091086,0.002200664,0.6857276600302883,,
late,LiDAR64,ego only,-998,0.3330971431900836,0.31836636369203203,0.24304647154666653,0.16303891139286347,0.068787309,0.004096391,0.2729262195557467,0.21944432540532843,0.11773159060067137,0.2563540913795646,0.2021993325845385,0.12162481768124722,,,
early,LiDAR128,∞ (clean),-999,0.5930113861766416,0.5794985396000873,0.3695583456398702,0.365481805,0.16207751650942295,0.009192405,0.5019102433428847,0.42551596850349144,0.2165536591068504,0.4868011448759912,0.38903067487100057,0.19843480314570403,0.6046490730392216,,
early,LiDAR128,+30.0 dB,30,0.055671729,0.051153705,0.028175460026188266,0.003398894,0.002031338,0.000143795,0.074845552,0.070069433,0.002771615,0.044638725,0.041084826,0.010363623145505109,0.54259314,,
early,LiDAR128,+20.0 dB,20,0.047679605,0.04451362,0.023348592460402027,0.003148465,0.001789654,8.762459834926566e-05,0.067032799,0.063897201,0.001637012,0.039286956,0.036733491644482655,0.008357743,0.542651092,,
early,LiDAR128,+10.0 dB,10,0.033026865,0.029527896120782257,0.013361979305367078,0.00367475,0.001892284,3.067764001843291e-05,0.056625544267053664,0.052985002,0.001046572,0.031109053266684342,0.028135060724260075,0.004813076,0.5336807502640618,,
early,LiDAR128,+0.0 dB,0,0,0,0,0,0,0,0.023930204,0.023930204,0.004154549,0.007976735,0.007976735,0.00138485,,,
